rule,mass_first_kmeans,mass_second_kmeans,uncertainty_kmeans,mass_first_random,mass_second_random,uncertainty_random
0.058 < ASM < 0.098,0.29140764474868774,0.4265298545360565,0.2820625305175781,0.25033318996429443,0.0,0.7496668100357056
ASM > 0.098,0.2981857657432556,0.4129716753959656,0.28884249925613403,0.3370955288410187,0.0,0.6629044413566589
Homogeneity < 0.393,0.0,0.8997471332550049,0.1002528965473175,0.0,0.21312503516674042,0.7868749499320984
0.393 < Homogeneity < 0.479,0.4650058150291443,0.266242653131485,0.2687515616416931,0.0,0.21164599061012268,0.7883539795875549
0.479 < Homogeneity < 0.565,0.26731008291244507,0.4740307033061981,0.2586592137813568,0.12623751163482666,0.05376936122775078,0.8199931383132935
Homogeneity > 0.565,0.29285314679145813,0.4211643636226654,0.2859824597835541,0.14122523367404938,0.0346372164785862,0.8241375684738159
Dissimilarity < 3.433,0.2652721703052521,0.46889832615852356,0.265829473733902,0.1778365969657898,0.018649348989129066,0.8035140037536621
3.433 < Dissimilarity < 4.715,0.23256412148475647,0.5348146557807922,0.23262128233909607,0.1685197800397873,0.022461174055933952,0.8090190291404724
4.715 < Dissimilarity < 5.998,0.07414978742599487,0.7716686129570007,0.15418162941932678,0.03025776334106922,0.16358138620853424,0.8061608672142029
Dissimilarity > 5.998,0.08435723930597305,0.7380988001823425,0.17754396796226501,0.0,0.23055648803710938,0.7694435119628906
Correlation < 0.938,0.27858996391296387,0.3933412432670593,0.3280687928199768,0.22686246037483215,0.0,0.7731375694274902
0.938 < Correlation < 0.956,0.21714821457862854,0.556002140045166,0.22684967517852783,0.10742881149053574,0.08731790632009506,0.805253267288208
0.956 < Correlation < 0.973,0.15186212956905365,0.6718255281448364,0.17631231248378754,0.021242283284664154,0.17662441730499268,0.8021332621574402
Correlation > 0.973,0.1801840364933014,0.6343416571617126,0.18547429144382477,0.09590529650449753,0.09859716147184372,0.8054974675178528
Coarseness = 7.46e-155,0.14425958693027496,0.7114808559417725,0.14425958693027496,0.1893995702266693,0.010600429028272629,0.800000011920929
"Positive Mean - 9.586, Variance - 718.473",0.1720256209373474,0.025944365188479424,0.8020300269126892,0.10218963027000427,0.0909917876124382,0.8068186640739441
"Negative Mean - 9.586, Variance - 718.473",0.1974780559539795,0.0,0.8025219440460205,0.010901572182774544,0.1955391764640808,0.7935592532157898
"Positive Mean - 9.586, Standard Deviation - 25.324",0.21100501716136932,0.02077961154282093,0.7682153582572937,0.06031648442149162,0.13476364314556122,0.8049198389053345
"Negative Mean - 9.586, Standard Deviation - 25.324",0.21731458604335785,0.0,0.782685399055481,0.05325065553188324,0.1347368061542511,0.8120124936103821
"Positive Mean - 9.586, Entropy - 0.073",0.09124907851219177,0.09208065271377563,0.816670298576355,0.04060284420847893,0.14651808142662048,0.8128790855407715
"Negative Mean - 9.586, Entropy - 0.073",0.1442074030637741,0.04165755957365036,0.8141350746154785,0.16078533232212067,0.03149305656552315,0.8077216148376465
"Positive Mean - 9.586, Skewness - 4.097",0.29277628660202026,0.0,0.7072237133979797,0.07442047446966171,0.1158173456788063,0.809762179851532
"Negative Mean - 9.586, Skewness - 4.097",0.07410748302936554,0.10344842821359634,0.8224440217018127,0.06479550153017044,0.12949679791927338,0.8057077527046204
"Positive Mean - 9.586, Kurtosis - 24.581",0.30917757749557495,0.0,0.690822422504425,0.14872919023036957,0.04457557201385498,0.8066952228546143
"Negative Mean - 9.586, Kurtosis - 24.581",0.08906589448451996,0.09516168385744095,0.8157724738121033,0.017302097752690315,0.1807291954755783,0.8019686341285706
"Positive Mean - 9.586, Contrast - 130.232",0.17675627768039703,0.01984223909676075,0.8034014701843262,0.10177424550056458,0.09284814447164536,0.8053776621818542
"Negative Mean - 9.586, Contrast - 130.232",0.23334868252277374,0.0064381882548332214,0.7602131366729736,0.08100780844688416,0.11512718349695206,0.8038649559020996
"Positive Mean - 9.586, Energy - 0.204",0.12971486151218414,0.06062229722738266,0.8096628189086914,0.13508690893650055,0.05506593734025955,0.8098471164703369
"Negative Mean - 9.586, Energy - 0.204",0.07995288819074631,0.10271479189395905,0.8173322677612305,0.171164870262146,0.02740410342812538,0.8014310598373413
"Positive Mean - 9.586, ASM - 0.058",0.04289133846759796,0.1413763463497162,0.8157323002815247,0.0,0.21287259459495544,0.7871274352073669
"Negative Mean - 9.586, ASM - 0.058",0.20615126192569733,0.0,0.7938487529754639,0.2011345773935318,0.0,0.7988654375076294
"Positive Mean - 9.586, Homogeneity - 0.479",0.19861747324466705,0.02141629345715046,0.7799662947654724,0.009841199032962322,0.18860271573066711,0.8015561103820801
"Negative Mean - 9.586, Homogeneity - 0.479",0.26160094141960144,0.0013957507908344269,0.7370032668113708,0.10894527286291122,0.08081603795289993,0.8102386593818665
"Positive Mean - 9.586, Dissimilarity - 4.715",0.06285487860441208,0.12147090584039688,0.8156742453575134,0.10965068638324738,0.0847364068031311,0.8056128621101379
"Negative Mean - 9.586, Dissimilarity - 4.715",0.12647424638271332,0.056997720152139664,0.8165280818939209,0.1451926827430725,0.05244262143969536,0.802364706993103
"Positive Mean - 9.586, Correlation - 0.956",0.13641899824142456,0.05415352061390877,0.8094274401664734,0.07987694442272186,0.1140206828713417,0.8061022758483887
"Negative Mean - 9.586, Correlation - 0.956",0.11362852901220322,0.06673283129930496,0.8196386098861694,0.000778188172262162,0.19817325472831726,0.8010485768318176
"Positive Mean - 9.586, Coarseness - 0.000",0.17636168003082275,0.020917003974318504,0.8027212619781494,0.0,0.2073436677455902,0.7926563620567322
"Negative Mean - 9.586, Coarseness - 0.000",0.1688040792942047,0.026643838733434677,0.8045521378517151,0.2017953246831894,0.0,0.7982046604156494
"Positive Variance - 718.473, Standard Deviation - 25.324",0.1270601898431778,0.06134483590722084,0.8115950226783752,0.0974881649017334,0.09344136714935303,0.8090704083442688
"Negative Variance - 718.473, Standard Deviation - 25.324",0.2239813506603241,0.0,0.7760186791419983,0.016242338344454765,0.17305122315883636,0.8107064962387085
"Positive Variance - 718.473, Entropy - 0.073",0.2104051262140274,0.021603073924779892,0.7679917216300964,0.091886967420578,0.09467074275016785,0.8134422898292542
"Negative Variance - 718.473, Entropy - 0.073",0.221304252743721,0.004587027244269848,0.7741087079048157,0.1738041788339615,0.02380450628697872,0.8023914098739624
"Positive Variance - 718.473, Skewness - 4.097",0.19580838084220886,0.0,0.8041915893554688,0.11772598326206207,0.06488799303770065,0.8173860311508179
"Negative Variance - 718.473, Skewness - 4.097",0.15580205619335175,0.06561806797981262,0.778579831123352,0.07204806059598923,0.11481515318155289,0.8131368160247803
"Positive Variance - 718.473, Kurtosis - 24.581",0.2853493094444275,0.0,0.7146506905555725,0.15133722126483917,0.04296297952532768,0.8056997656822205
"Negative Variance - 718.473, Kurtosis - 24.581",0.08245652168989182,0.10124467313289642,0.8162988424301147,0.08963660895824432,0.10012388229370117,0.8102394938468933
"Positive Variance - 718.473, Contrast - 130.232",0.22333288192749023,0.00032138428650796413,0.7763457298278809,0.10121258348226547,0.09293966740369797,0.8058477640151978
"Negative Variance - 718.473, Contrast - 130.232",0.1414385288953781,0.05173869431018829,0.8068228363990784,0.05172666534781456,0.14334404468536377,0.804929256439209
"Positive Variance - 718.473, Energy - 0.204",0.13382486999034882,0.0582478865981102,0.8079272508621216,0.10003846883773804,0.08956166356801987,0.8103998899459839
"Negative Variance - 718.473, Energy - 0.204",0.14998748898506165,0.04065414518117905,0.8093583583831787,0.15252462029457092,0.044173333793878555,0.8033020496368408
"Positive Variance - 718.473, ASM - 0.058",0.16702823340892792,0.028644107282161713,0.804327666759491,0.1151110827922821,0.07140443474054337,0.8134844899177551
"Negative Variance - 718.473, ASM - 0.058",0.10335667431354523,0.07138760387897491,0.8252556920051575,0.17011018097400665,0.02731326036155224,0.80257648229599
"Positive Variance - 718.473, Homogeneity - 0.479",0.06512649357318878,0.1130608543753624,0.821812629699707,0.04066351428627968,0.1474197655916214,0.811916708946228
"Negative Variance - 718.473, Homogeneity - 0.479",0.25523287057876587,0.0,0.7447671294212341,0.13478399813175201,0.05321201682090759,0.8120039701461792
"Positive Variance - 718.473, Dissimilarity - 4.715",0.15829892456531525,0.03659123182296753,0.8051098585128784,0.1813274770975113,0.014882647432386875,0.8037898540496826
"Negative Variance - 718.473, Dissimilarity - 4.715",0.06825505197048187,0.1139696016907692,0.8177753686904907,0.0409412607550621,0.1532653272151947,0.8057934045791626
"Positive Variance - 718.473, Correlation - 0.956",0.13986985385417938,0.05252492427825928,0.8076052069664001,0.040622469037771225,0.15658245980739594,0.8027950525283813
"Negative Variance - 718.473, Correlation - 0.956",0.24290728569030762,0.0,0.7570927143096924,0.09309114515781403,0.0981215164065361,0.8087873458862305
"Positive Variance - 718.473, Coarseness - 0.000",0.1732560247182846,0.014778842218220234,0.8119651675224304,0.17018567025661469,0.02886834368109703,0.8009459972381592
"Negative Variance - 718.473, Coarseness - 0.000",0.07363105565309525,0.11000800132751465,0.8163609504699707,0.05183016136288643,0.14686612784862518,0.8013036847114563
"Positive Standard Deviation - 25.324, Entropy - 0.073",0.2359626591205597,0.004323257599025965,0.7597141265869141,0.09939736872911453,0.09044639766216278,0.8101562261581421
"Negative Standard Deviation - 25.324, Entropy - 0.073",0.1390368789434433,0.05215424671769142,0.8088089227676392,0.04756611958146095,0.14795902371406555,0.8044748902320862
"Positive Standard Deviation - 25.324, Skewness - 4.097",0.3052498400211334,0.0,0.694750189781189,0.137644961476326,0.05585906654596329,0.8064959645271301
"Negative Standard Deviation - 25.324, Skewness - 4.097",0.1662142276763916,0.054077524691820145,0.779708206653595,0.13437195122241974,0.059766992926597595,0.8058611154556274
"Positive Standard Deviation - 25.324, Kurtosis - 24.581",0.22790494561195374,0.0,0.7720950841903687,0.17666174471378326,0.021491682156920433,0.8018465638160706
"Negative Standard Deviation - 25.324, Kurtosis - 24.581",0.0699213370680809,0.11459185928106308,0.8154867887496948,0.13480143249034882,0.05597792565822601,0.8092206120491028
"Positive Standard Deviation - 25.324, Contrast - 130.232",0.16930529475212097,0.026931315660476685,0.8037633299827576,0.15830183029174805,0.040026966482400894,0.8016712069511414
"Negative Standard Deviation - 25.324, Contrast - 130.232",0.14569047093391418,0.04819583147764206,0.8061136603355408,0.03898456692695618,0.15465983748435974,0.8063555955886841
"Positive Standard Deviation - 25.324, Energy - 0.204",0.11473304033279419,0.06802386045455933,0.8172430992126465,0.07062486559152603,0.11903317272663116,0.810342013835907
"Negative Standard Deviation - 25.324, Energy - 0.204",0.10575996339321136,0.07302921265363693,0.8212108016014099,0.054823026061058044,0.142150416970253,0.803026556968689
"Positive Standard Deviation - 25.324, ASM - 0.058",0.13018563389778137,0.055947817862033844,0.8138664960861206,0.058798667043447495,0.13279063999652863,0.8084107637405396
"Negative Standard Deviation - 25.324, ASM - 0.058",0.11105030030012131,0.07179354131221771,0.817156195640564,0.1608942747116089,0.03561459854245186,0.8034911751747131
